ZIP_Code,Count_Part_1_Crime,Count_Public_Safety,Count_Fire_Stations,Count_Police_Stations,Count_Corrective_Facility,Count_Education_Facility,Median_AirBNB_Price_June ,Median_Price_Entire_Home/Apt_June,Median_Price_Hotel_Room_June,Median_Price_Private_Room_June ,Median_Price_Shared_Room_June,Median_Price_September,Median_Price_Entire_Home/Apt_September,Median_Price_Hotel_Room_September,Median_Price_Private_Room_September,Median_Price_Shared_Room_September,Population,Crime_Per_Capita,Education_Per_Capita,Public_Safety_Per_Capita,,
90065,0,3,1,1,0,18,142,160,0,65,0,143.5,163,0,76,0,44658,0.00000,0.000403063,0.000067,,
90066,8,4,2,2,1,21,162,180,0,90,0,159,171.5,0,88,0,56740,0.00014,0.000370109,0.000070,,
90068,1,1,0,0,0,2,234.5,260.5,0,107,16,245,269,0,110,24,21572,0.00005,9.27128E-05,0.000046,,
90069,936,2,1,1,0,2,456,517.5,638,184,0,389.5,471,0,192,0,20961,0.04465,9.54153E-05,0.000095,,
90094,0,1,0,0,0,1,222,222,0,70,0,243,244,0,68,0,11764,0.00000,8.50051E-05,0.000085,,
90095,0,1,1,1,0,2,108,161,0,56,0,102,128,0,52,0,0,#DIV/0!,#DIV/0!,#DIV/0!,,
90201,240,5,2,2,1,25,745.5,864,0,205.5,0,731,897.5,0,195.5,0,92763,0.00259,0.000269504,0.000054,,
90210,1,6,1,1,1,4,156.5,172,271,90,16,161.5,171,0,79,0,19004,0.00005,0.000210482,0.000316,,
90211,0,1,0,0,0,3,130,162,0,71,0,130.5,167,0,71.5,0,9120,0.00000,0.000328947,0.000110,,
90220,1382,3,1,1,0,18,87.5,99,0,82,0,91.5,96.5,0,78,0,48354,0.02858,0.000372255,0.000062,,
90221,456,4,2,2,0,18,135,139.5,0,59,0,144,150.5,0,59,0,50659,0.00900,0.000355317,0.000079,,
90222,170,1,0,0,0,11,154,177,0,89.5,0,162.5,190.5,0,90,0,32340,0.00526,0.000340136,0.000031,,
90230,6,4,1,1,1,15,197,207,365,78,0,187,203,365,62,0,31009,0.00019,0.000483731,0.000129,,
90232,2,2,1,1,0,7,158,204,0,56,0,123.5,171.5,0,64,0,16554,0.00012,0.000422859,0.000121,,
90240,0,2,0,0,0,4,125,173,0,64.5,0,147,180,0,57,0,24853,0.00000,0.000160946,0.000080,,
90241,2,2,1,1,1,16,85.5,200,0,53,0,87,184,0,53,0,45319,0.00004,0.000353053,0.000044,,
90242,11,3,0,0,1,15,165,158,399,112,195,150,154.5,50000,113,0,40767,0.00027,0.000367945,0.000074,,
90245,1,5,1,1,0,12,112,127,0,70,0,110,118,0,70,0,16769,0.00006,0.000715606,0.000298,,
90247,33,2,1,1,0,10,104,119,0,59,0,104,110.5,0,75,0,47053,0.00070,0.000212526,0.000043,,
90248,68,2,0,0,0,6,105,160,0,71.5,0,104,128.5,0,72,0,11235,0.00605,0.000534045,0.000178,,
90249,83,1,0,0,0,6,128,154,0,73,0,128,155,0,73,0,26290,0.00316,0.000228224,0.000038,,
90250,149,5,1,1,1,26,286,296.5,0,154,49,255,270,0,162,50,93826,0.00159,0.000277109,0.000053,,
90254,0,2,1,1,0,5,130,124.5,0,197,0,108,103,0,202,0,19063,0.00000,0.000262288,0.000105,,
90255,400,4,1,1,1,34,140,176,0,75.5,0,132.5,169,0,72.5,0,69349,0.00577,0.000490274,0.000058,,
90260,589,2,1,1,0,14,133.5,185,71,93,0,123,156,86,94,0,32075,0.01836,0.000436477,0.000062,,
90262,1453,4,1,1,1,22,713,733,0,266.5,0,690,711.5,0,230.5,0,64235,0.02262,0.000342492,0.000062,,
90263,0,1,1,1,0,1,382,414,0,95,0,355,395,0,90,0,1856,0.00000,0.000538793,0.000539,,
90265,224,9,1,1,3,9,84,83,0,105.5,0,85,74,0,99.5,0,15918,0.01407,0.000565398,0.000565,,
90266,0,3,1,1,0,13,364,468.5,0,175,0,405.5,482.5,0,157,0,34210,0.00000,0.000380006,0.000088,,
90270,312,1,1,1,0,7,226.5,300,0,86,0,225,297,0,84,0,24218,0.01288,0.000289041,0.000041,,
