ZIP_CODE,Population,Count_Public_Safety,Count_Fire_Stations,Count_Police_Stations,Count_Corrective_Facility,Count_Education_Facility,Crime_Per_Capita,Education_Per_Capita,Public_Safety_Per_Capita,amenities_index,crime_index,education_index,crime_events,violent_crime_events,property_crime_events,part1_events,crime_events_per_capita,violent_crime_per_capita,property_crime_per_capita
90265,15918,9,1,1,3,9,0.01407,0.000565398,0.000565,0.27346886641345597,-0.021420393801024715,1.0713540467823781,1.0,0.0,1.0,1.0,6.282196255811031e-05,0.0,6.282196255811031e-05
90266,34210,3,1,1,0,13,0.0,0.000380006,8.8e-05,0.4573540582324937,-0.08694945497590129,0.18158759601723465,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,0.04397951917534163,0.12229764193510417
90270,24218,1,1,1,0,7,0.01288,0.000289041,4.1e-05,0.1815262705039372,-0.026962652706362528,-0.25498790451057257,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,0.04397951917534163,0.12229764193510417
90272,21390,2,0,0,0,10,0.0,0.000467508,9.4e-05,-0.6301198793958228,-0.08694945497590129,0.6015428474566256,2925.0,382.0,2350.0,1851.0,0.13674614305750352,0.01785881252921926,0.10986442262739599
90274,25059,4,1,1,0,16,0.00367,0.000638493,0.00016,0.595267952096772,-0.06985694221742246,1.4221646465853797,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,0.04397951917534163,0.12229764193510417
90275,40945,2,0,0,0,15,0.00574,0.000366345,4.9e-05,-0.40026338962202573,-0.06021620613838945,0.11602328103113702,332.0,110.0,208.0,212.0,0.00810843814873611,0.0026865307119306385,0.0050799853461961164
90277,34844,3,1,1,1,10,0.0,0.000286993,8.6e-05,0.31944016436821543,-0.08694945497590129,-0.2648170324727665,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,0.04397951917534163,0.12229764193510417
90278,42423,1,0,0,0,10,2e-05,0.000235721,2.4e-05,-0.6301198793958228,-0.08685630776740821,-0.5108907868075296,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,0.04397951917534163,0.12229764193510417
90280,91365,4,1,1,1,31,4e-05,0.000339298,4.4e-05,1.2848374214181633,-0.08676316055891514,-0.013785519746916327,7.0,5.0,1.0,6.0,7.661577190390193e-05,5.472555135992995e-05,1.094511027198599e-05
90290,6315,1,0,0,0,2,0.00586,0.000316706,0.000158,-0.9978902630338982,-0.05965732288743101,-0.12221308757986546,1.0,0.0,1.0,1.0,0.00015835312747426763,0.0,0.00015835312747426763
90291,26324,1,0,0,0,7,0.00019,0.000265917,3.8e-05,-0.7680337732601009,-0.0860645564952171,-0.36596874191182605,12204.0,3385.0,8201.0,7919.0,0.4636073545053943,0.12858987995745327,0.31154079927062756
90292,23982,2,1,1,0,1,0.01897,4.16979e-05,8.3e-05,-0.0943015172246194,0.0014006722797780787,-1.4420811566910763,4052.0,745.0,3154.0,2729.0,0.16896005337336337,0.0310649653907097,0.13151530314402468
90301,36060,3,2,2,0,20,8e-05,0.000554631,8.3e-05,1.7287131876798478,-0.086576866141929,1.019679134297544,33.0,3.0,28.0,17.0,0.0009151414309484193,8.319467554076539e-05,0.000776483638380477
90303,22727,2,1,1,0,5,4e-05,0.000220003,8.8e-05,0.08958367459441834,-0.08676316055891514,-0.5863274241658111,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,0.04397951917534163,0.12229764193510417
90304,25430,1,0,0,0,8,0.01125,0.000314589,3.9e-05,-0.7220624753053416,-0.03455415019854795,-0.13237337268531663,47.0,2.0,43.0,27.0,0.00184821077467558,7.864726700747149e-05,0.001690916240660637
90305,14708,1,0,0,0,3,0.0,0.000203971,6.8e-05,-0.9519189650791388,-0.08694945497590129,-0.6632710664948586,41.0,24.0,16.0,24.0,0.0027875985858036444,0.0016317650258362796,0.0010878433505575197
90401,8101,5,3,3,1,3,0.00012,0.000370325,0.000617,1.8967611662129762,-0.08639057172494286,0.13512480900454077,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,0.04397951917534163,0.12229764193510417
90404,22978,2,1,1,0,7,0.0003,0.000304639,8.7e-05,0.1815262705039372,-0.0855522468485052,-0.180127192618826,71.0,18.0,50.0,41.0,0.00308991208982505,0.0007833579946035338,0.0021759944294542605
90405,27298,3,1,1,0,11,0.0,0.00040296,0.00011,0.3654114623229749,-0.08694945497590129,0.29175253900756376,103.0,8.0,86.0,52.0,0.0037731701956187267,0.000293061762766503,0.0031504139497399077
90501,41787,1,0,0,0,14,0.00017,0.000335032,2.4e-05,-0.4462346875767851,-0.08615770370371018,-0.03425967008222801,3160.0,989.0,1986.0,1792.0,0.07562160480532223,0.02366764783305813,0.04752674276688922
90502,18467,1,1,1,0,3,0.0117,0.000162452,5.4e-05,-0.002358921315100515,-0.03245833800745381,-0.8625364785370071,802.0,177.0,605.0,597.0,0.043428818974386746,0.009584664536741214,0.032761141495640876
90503,43454,4,1,1,1,15,7e-05,0.000345193,9.2e-05,0.5492966541420126,-0.08662343974617553,0.014506818796605123,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,0.04397951917534163,0.12229764193510417
90504,33084,2,0,0,0,11,0.0,0.000332487,6e-05,-0.5841485814410633,-0.08694945497590129,-0.04647408935165307,5.0,3.0,2.0,3.0,0.0001511304558094547,9.067827348567283e-05,6.045218232378189e-05
90505,35148,2,0,0,0,12,3e-05,0.000341413,5.7e-05,-0.538177283486304,-0.08680973416316168,-0.0036348333992406324,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,0.04397951917534163,0.12229764193510417
90506,0,1,1,1,0,1,0.000245,0.00032704749999999997,6.35e-05,-0.0943015172246194,-0.08580840167186114,-0.07258031081178627,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,0.04397951917534163,0.12229764193510417
90601,30078,2,0,0,1,14,0.00229,0.000465456,6.6e-05,-0.4462346875767851,-0.07628409960344447,0.5916945219788807,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,0.04397951917534163,0.12229764193510417
90602,25905,3,1,1,1,3,0.00031,0.000115808,0.000116,-0.002358921315100515,-0.08550567324425866,-1.0863987073790786,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,0.04397951917534163,0.12229764193510417
90603,21118,1,0,0,0,4,5e-05,0.000189412,4.7e-05,-0.9059476671243792,-0.08671658695466859,-0.7331452237221916,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,0.04397951917534163,0.12229764193510417
90604,39276,2,0,0,0,13,0.0069,0.000330991,5.1e-05,-0.49220598553154454,-0.05481366804579124,-0.053653960167786875,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,0.04397951917534163,0.12229764193510417
90631,0,2,0,0,0,0,0.000245,0.00032704749999999997,6.35e-05,-1.089832858943417,-0.08580840167186114,-0.07258031081178627,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,0.04397951917534163,0.12229764193510417
90638,45933,3,1,1,0,14,0.01317,0.000304792,6.5e-05,0.5033253561872532,-0.025612018183212983,-0.17939288764899405,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,0.04397951917534163,0.12229764193510417
90640,61382,6,2,2,1,20,0.00029,0.000325828,9.8e-05,1.7287131876798478,-0.08559882045275174,-0.07843315336544597,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,0.04397951917534163,0.12229764193510417
90650,99900,5,2,2,1,29,0.01553,0.00029029,5e-05,2.1424548692726826,-0.01462064758103041,-0.24899348027972307,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,0.04397951917534163,0.12229764193510417
90660,60272,4,1,1,0,19,0.02167,0.000315238,6.6e-05,0.7331818459610502,0.013975545426342868,-0.12925857578714087,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,0.04397951917534163,0.12229764193510417
90670,17851,5,1,1,0,12,0.00011,0.000672231,0.00028,0.41138276027773424,-0.08643714532918939,1.5840860915016353,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,0.04397951917534163,0.12229764193510417
